cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength,recycled_content_kg,total_binder,recycled_content_pct,water_cement_ratio,cement_intensity,circularity_score,sustainability_grade,estimated_co2_kg_per_m3
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,0.0,540.0,0.0,0.3,6.751,35.6,Medium,486.0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0.0,540.0,0.0,0.3,8.725,34.3,Medium,486.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,142.5,475.0,30.0,0.686,8.257,59.1,High,306.38
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,142.5,475.0,30.0,0.686,8.1,59.2,High,306.38
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,132.4,331.0,40.0,0.967,4.483,69.7,High,185.36
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,114.0,380.0,30.0,0.857,5.656,60.8,High,245.1
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,95.0,475.0,20.0,0.6,8.695,50.6,High,346.75
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,95.0,475.0,20.0,0.6,10.425,49.5,Medium,346.75
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,114.0,380.0,30.0,0.857,5.801,60.7,High,245.1
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.0,475.0,0.0,0.48,12.089,32.1,Medium,427.5
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,132.4,331.0,40.0,0.967,5.217,69.2,High,185.36
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,132.4,331.0,40.0,0.967,7.088,68.0,High,185.36
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,47.5,475.0,10.0,0.533,9.939,41.7,Medium,387.12
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,190.0,380.0,50.0,1.2,4.488,77.8,Excellent,180.5
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,76.0,380.0,20.0,0.75,6.358,52.2,High,277.4
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,0.0,380.0,0.0,0.6,7.182,35.3,Medium,342.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,209.4,349.0,60.0,1.375,3.547,86.6,Excellent,136.11
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,38.0,380.0,10.0,0.667,6.092,44.2,Medium,309.7
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,95.0,475.0,20.0,0.6,9.369,50.2,High,346.75
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,0.0,475.0,0.0,0.48,11.145,32.7,Medium,427.5
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,47.5,475.0,10.0,0.533,10.217,41.5,Medium,387.12
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,209.4,349.0,60.0,1.375,4.943,85.7,Excellent,136.11
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,209.4,349.0,60.0,1.375,17.318,77.6,Excellent,136.11
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,209.4,349.0,60.0,1.375,3.158,86.9,Excellent,136.11
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,0.0,380.0,0.0,0.6,7.235,35.3,Medium,342.0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.0,380.0,0.0,0.6,7.129,35.4,Medium,342.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,95.0,475.0,20.0,0.6,9.234,50.3,High,346.75
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,38.0,380.0,10.0,0.667,6.562,43.9,Medium,309.7
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,47.5,475.0,10.0,0.533,11.421,40.7,Medium,387.12
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,0.0,475.0,0.0,0.48,12.305,32.0,Medium,427.5
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,76.0,380.0,20.0,0.75,5.501,52.7,High,277.4
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,114.0,380.0,30.0,0.857,5.027,61.2,High,245.1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,132.4,331.0,40.0,0.967,4.76,69.5,High,185.36
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.0,475.0,0.0,0.48,11.274,32.7,Medium,427.5
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,190.0,380.0,50.0,1.2,3.539,78.5,Excellent,180.5
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,237.5,475.0,50.0,0.96,6.183,76.7,Excellent,225.62
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,237.5,475.0,50.0,0.96,7.895,75.6,Excellent,225.62
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,142.5,475.0,30.0,0.686,8.815,58.7,High,306.38
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,0.0,475.0,0.0,0.48,11.248,32.7,Medium,427.5
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,237.5,475.0,50.0,0.96,6.552,76.5,Excellent,225.62
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,38.0,380.0,10.0,0.667,6.778,43.7,Medium,309.7
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,47.5,475.0,10.0,0.533,9.782,41.8,Medium,387.12
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,237.5,475.0,50.0,0.96,6.09,76.8,Excellent,225.62
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,0.0,380.0,0.0,0.6,7.156,35.3,Medium,342.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,47.5,475.0,10.0,0.533,10.291,41.4,Medium,387.12
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,47.5,475.0,10.0,0.533,12.186,40.2,Medium,387.12
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,0.0,349.0,0.0,0.55,23.188,24.9,Low,314.1
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,95.0,475.0,20.0,0.6,9.323,50.2,High,346.75
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,237.5,475.0,50.0,0.96,9.044,74.9,Excellent,225.62
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,95.0,475.0,20.0,0.6,11.578,48.8,Medium,346.75
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,142.5,475.0,30.0,0.686,8.358,59.0,High,306.38
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,190.0,380.0,50.0,1.2,4.048,78.1,Excellent,180.5
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12,237.5,475.0,50.0,0.96,7.171,76.1,Excellent,225.62
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,76.0,380.0,20.0,0.75,6.18,52.3,High,277.4
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,209.4,349.0,60.0,1.375,9.568,82.7,Excellent,136.11
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,132.4,331.0,40.0,0.967,13.565,63.8,High,185.36
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,0.0,475.0,0.0,0.48,11.328,32.6,Medium,427.5
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,132.4,331.0,40.0,0.967,21.75,58.4,High,185.36
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,76.0,380.0,20.0,0.75,5.967,52.4,High,277.4
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,142.5,475.0,30.0,0.686,10.069,57.9,High,306.38
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,76.0,380.0,20.0,0.75,5.59,52.7,High,277.4
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,114.0,380.0,30.0,0.857,5.142,61.1,High,245.1
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,0.0,310.0,0.0,0.619,31.405,19.5,Low,279.0
